stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code
890157,890157,"Buchan Rd near Endeavour Dr",, -19.325174, 146.751943,6,http://translink.com.au/stop/890157/gtfs/,0,,
890158,890158,"Student Union Mall",, -19.327621, 146.756223,6,http://translink.com.au/stop/890158/gtfs/,0,,
890164,890164,"Riverside Blvd at Riverside Shopping Centre",, -19.317124, 146.758213,6,http://translink.com.au/stop/890164/gtfs/,0,,
890165,890165,"Riverside Blvd at Regatta Crescent",, -19.316859, 146.755704,6,http://translink.com.au/stop/890165/gtfs/,0,,
890166,890166,"Riverside Blvd at Community Centre",, -19.316641, 146.752957,6,http://translink.com.au/stop/890166/gtfs/,0,,
890167,890167,"Riverside Blvd at Southern Cross Circuit",, -19.319653, 146.751272,6,http://translink.com.au/stop/890167/gtfs/,0,,
890168,890168,"Riverside Blvd at Creekwood Way",, -19.320841, 146.748844,6,http://translink.com.au/stop/890168/gtfs/,0,,
890169,890169,"Riverside Blvd at Siris Place",, -19.319778, 146.746926,6,http://translink.com.au/stop/890169/gtfs/,0,,
890170,890170,"Riverside Blvd at White Beech Court",, -19.318922, 146.743184,6,http://translink.com.au/stop/890170/gtfs/,0,,
890171,890171,"Riverside Blvd near Boxwood St",, -19.318808, 146.738410,6,http://translink.com.au/stop/890171/gtfs/,0,,
890172,890172,"Riverside Blvd at Freshwater Drive",, -19.318827, 146.738216,6,http://translink.com.au/stop/890172/gtfs/,0,,
890173,890173,"Rivergreen Cct near Riverside Blvd",, -19.317543, 146.741330,6,http://translink.com.au/stop/890173/gtfs/,0,,
890174,890174,"Riverside Blvd at White Beach Court",, -19.319053, 146.744054,6,http://translink.com.au/stop/890174/gtfs/,0,,
890175,890175,"Riverside Blvd at Siris Place",, -19.319570, 146.746905,6,http://translink.com.au/stop/890175/gtfs/,0,,
890176,890176,"Riverside Blvd at Creekwood Way",, -19.320727, 146.748946,6,http://translink.com.au/stop/890176/gtfs/,0,,
890177,890177,"Riverside Blvd at Southern Cross Circuit",, -19.318328, 146.751509,6,http://translink.com.au/stop/890177/gtfs/,0,,
890178,890178,"Riverside Blvd at Community Centre",, -19.316531, 146.753071,6,http://translink.com.au/stop/890178/gtfs/,0,,
890179,890179,"Riverside Blvd at Regatta Crescent",, -19.316732, 146.755691,6,http://translink.com.au/stop/890179/gtfs/,0,,
890180,890180,"Riverside Blvd at Riverside Shopping Centre",, -19.316979, 146.758335,6,http://translink.com.au/stop/890180/gtfs/,0,,
890181,890181,"Willows Shopping Centre",, -19.314506, 146.727562,7,http://translink.com.au/stop/890181/gtfs/,0,,
890182,890182,"48 Thuringowa Drive near Carthew St",, -19.312264, 146.729712,7,http://translink.com.au/stop/890182/gtfs/,0,,
890183,890183,"Thuringowa Dr at Hinchinbrook Drive",, -19.308490, 146.732170,7,http://translink.com.au/stop/890183/gtfs/,0,,
890184,890184,"Thuringowa Dr at Charles Street",, -19.304795, 146.734142,7,http://translink.com.au/stop/890184/gtfs/,0,,
890185,890185,"Thuringowa Dr near Burnda St",, -19.298816, 146.736116,4,http://translink.com.au/stop/890185/gtfs/,0,,
890186,890186,"Hugh St at Garbutt Shopping Centre",, -19.265645, 146.783224,2,http://translink.com.au/stop/890186/gtfs/,0,,
